,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
78,9,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
77,9,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
76,9,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
75,9,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
74,9,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
73,9,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
71,8,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
63,8,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
70,8,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
69,8,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
