,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
0,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 10}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
2,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 10}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
3,5,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 50}",0.9875776397515528,0.9444444444444444,30.70184532652523,"[[140   0]
 [  2  19]]","[[16  0]
 [ 1  1]]",161,19
5,7,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 50}",0.9875776397515528,0.9444444444444444,30.70184532652523,"[[140   0]
 [  2  19]]","[[16  0]
 [ 1  1]]",161,19
6,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 10}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
8,10,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 50}",0.9875776397515528,0.9444444444444444,30.70184532652523,"[[140   0]
 [  2  19]]","[[16  0]
 [ 1  1]]",161,19
1,3,"{'algorithm': 'SAMME.R', 'learning_rate': 0.01, 'n_estimators': 10}",0.9813664596273292,0.8888888888888888,30.70184532652523,"[[138   2]
 [  1  20]]","[[15  1]
 [ 1  1]]",153,27
4,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,0.7777777777777778,30.70184532652523,"[[140   0]
 [  0  21]]","[[14  2]
 [ 2  0]]",161,19
7,9,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,0.7777777777777778,30.70184532652523,"[[140   0]
 [  0  21]]","[[14  2]
 [ 2  0]]",161,19
