,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
75,9,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
74,9,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
73,9,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
71,8,10,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
63,8,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
70,8,9,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
69,8,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
68,8,7,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
67,8,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
66,8,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
65,8,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
64,8,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
42,5,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
40,5,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
1,1,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
39,5,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
18,3,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
17,2,10,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
