,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
4,1,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
5,1,7,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
6,1,8,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
7,1,9,"{'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",157,23
77,9,7,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
76,9,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
50,6,7,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
13,2,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
14,2,7,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
15,2,8,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
16,2,9,"{'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",157,23
72,9,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
73,9,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
62,7,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
63,8,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
57,7,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
55,7,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
54,7,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
64,8,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
66,8,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
53,6,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
71,8,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
75,9,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
0,1,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
48,6,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
28,4,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
3,1,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
8,1,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
9,2,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
10,2,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
12,2,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
17,2,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
18,3,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
19,3,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
21,3,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
26,3,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
27,4,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
80,9,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
39,5,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
35,4,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
36,5,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
46,6,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
37,5,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
45,6,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
44,5,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
30,4,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
1,1,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}",1.0,0.96875,17.269787996170443,"[[140   0]
 [  0 140]]","[[15  1]
 [ 0 16]]",159,21
74,9,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
2,1,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
29,4,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
11,2,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
56,7,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
38,5,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
20,3,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
47,6,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
65,8,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'splitter': 'random'}",1.0,0.9375,17.269787996170443,"[[140   0]
 [  0 140]]","[[14  2]
 [ 0 16]]",154,26
